product_no,product_name,product_price
F287,西瓜子,4
F288,葵花子,3
F289,葡萄干,4.5
F290,蔓越莓干,5
F291,蓝莓干,6.5
F292,草莓干,5.5
F293,芒果干,6
F294,菠萝干,4
F295,香蕉片,5.5
F296,苹果干,4.5
F297,猕猴桃干,5
F298,木瓜干,3.5
F299,红薯干,3
F300,芋头干,4.5
,,5.919666667
