date,reviews,stars,product_name
2025/6/23,泡水喝或者直接吃都很好，用途多样！,5,
2025/7/1,独立小包装的蓝莓干，携带方便，上班零食首选！,4,蓝莓干
2025/7/1,蓝莓干颜色自然，没有染色迹象，吃得放心！,5,蓝莓干
2025/7/1,蓝莓干甜度刚好，不会齁甜，适合控糖人士！,5,蓝莓干
2025/7/1,蓝莓干太甜腻了，糖精味很重，吃完嘴里发酸！,5,蓝莓干
2025/7/1,蓝莓干酸涩难吃，和之前买的完全不一样！,2,蓝莓干
2025/6/11,黑芝麻和燕麦搭配做早餐，营养美味又顶饱！,5,黑芝麻
2025/7/1,物流太慢，到货时包装都压破了！,2,
2025/6/14,黑芝麻里掺了白芝麻，以次充好！,2,黑芝麻
2025/6/14,黑芝麻陈年旧货，毫无香味！,2,黑芝麻
2025/6/14,这款黑芝麻性价比超高，500g一大袋能吃很久，比超市便宜30%！,5,黑芝麻
2025/7/1,宣传是“大果粒”，结果全是小颗干瘪的劣质果！,3,
2025/7/1,口感像嚼橡胶，完全没有蓝莓的自然果香！,3,
2025/7/1,吃了几颗就胃不舒服，怀疑卫生不达标！,2,
2025/7/1,价格虚高，同样品质别家便宜一半，不会再上当！,3,
2025/7/1,颗粒均匀饱满，没有碎渣，品质比之前买的其他品牌好太多！,5,
2025/6/1,银耳无硫熏，孕妇吃着放心！,5,银耳
2025/6/1,银耳颜色发黄，怀疑硫磺熏过！,2,银耳
2025/6/1,银耳宣传“有机”实际无认证，虚假宣传！,2,银耳
2025/6/1,这款银耳泡发率超高，一小朵就能煮一大锅胶质满满的银耳羹！,5,银耳
2025/6/1,煮银耳时加点桂花，香气扑鼻，幸福感爆棚！,5,银耳
2025/6/3,银耳煮完胶质满满，感觉皮肤变好了！,5,银耳
2025/6/3,复购的银耳品质下降，不再买了！,1,银耳
2025/6/3,比超市买的银耳更干净，几乎无杂质，洗一遍就能煮！,5,银耳
2025/6/5,银耳包装密封性好，干燥无杂质，推荐！,5,银耳
2025/6/5,泡发率高的银耳，一小朵能煮一大锅！,5,银耳
2025/6/5,银耳价格虚高，比菜市场贵一倍！,3,银耳
2025/6/5,银耳碎渣少，朵形完整，一看就是精选好货！,4,银耳
2025/6/10,这款银耳质量稳定，每次炖甜品都满意！,5,银耳
2025/6/10,煮完银耳汤黏稠度刚好，口感细腻，喜欢！,5,银耳
2025/6/10,银耳价格实惠，学生党也能天天吃！,5,银耳
2025/6/10,这次银耳有霉味，不敢吃，差评！,2,银耳
2025/6/10,物流慢，银耳到货时包装全破了！,2,银耳
2025/6/10,银耳炖牛奶超好喝，比奶茶健康多了，孩子也喜欢！,5,银耳
2025/6/11,回购N次的银耳，品质稳定，出胶快，性价比之王！,5,银耳
2025/6/11,银耳炖桃胶、皂角米绝配，养颜圣品，女生必囤！,4,银耳
2025/6/11,客服态度超好，银耳问题解答超耐心，购物体验满分！,5,银耳
2025/6/14,包装漏气，银耳受潮结块了！,2,银耳
2025/6/14,银耳分量缩水，和描述不符！,2,银耳
2025/6/14,即食银耳超方便，早上加热2分钟就能喝，营养又省时！,4,银耳
2025/6/14,银耳无硫熏，颜色自然，孕妇和宝宝都能放心吃！,5,银耳
2025/6/14,卖家送的银耳食谱超实用，解锁了超多新吃法！,5,银耳
2025/6/14,包装密封性超好，银耳干燥不返潮，储存方便！,5,银耳
2025/6/16,银耳羹美容养颜，觉得很有营养！,5,银耳
2025/6/16,银耳搭配红枣枸杞绝了，营养又美味！,4,银耳
2025/6/16,银耳品质好，比线下店新鲜，会长期买！,5,银耳
2025/6/16,银耳碎渣太多，泡发后全是小颗粒！,3,银耳
2025/6/16,芝麻里有小石子，差点崩牙！,2,黑芝麻
2025/6/16,芝麻颗粒瘦小，和图片不符！,2,黑芝麻
2025/6/23,包装简陋，到货时芝麻撒了一半！,2,黑芝麻
2025/7/1,芝麻发苦，明显炒糊了！,2,黑芝麻
2025/6/16,黑芝麻糊自制简单，香浓顺滑，比外面卖的还好喝！,5,黑芝麻
2025/6/23,黑芝麻乌黑发亮，一看就是新鲜货，完全没有陈味！,5,黑芝麻
2025/7/1,孕期一直在吃这款黑芝麻，宝宝头发又黑又密！,5,黑芝麻
2025/6/16,煮完银耳汤发酸，质量有问题！,0,银耳
2025/6/16,银耳杂质多，洗了三遍还有沙子！,2,银耳
2025/6/16,客服态度差，银耳问题不解决！,2,银耳
2025/6/16,银耳胶质丰富，长期吃感觉皮肤更水润了！,5,银耳
2025/6/16,银耳煮后胶质浓稠，冷藏后像果冻一样，超赞！,5,银耳
2025/6/23,复购多次的银耳，出胶快，性价比超高！,5,银耳
2025/6/23,即食银耳方便快捷，早餐必备！,4,银耳
2025/6/23,银耳煮一小时都不出胶，垃圾食品！,2,银耳
2025/6/23,银耳炖不烂，口感像树皮！,2,银耳
2025/6/23,银耳搭配红枣、枸杞炖煮，香甜滋补，秋冬必备！,5,银耳
2025/6/23,银耳低卡又饱腹，减肥期当代餐超合适！,5,银耳
2025/7/1,银耳泡发后煮粥特别软糯，全家都爱喝！,4,银耳
2025/7/1,银耳分量足，价格比超市便宜，会继续买！,5,银耳
2025/7/1,银耳炖桃胶口感顺滑，愿意复购！,5,银耳
2025/7/1,即食银耳太甜，香精味重，不喜欢！,2,银耳
2025/7/1,银耳口感细腻软糯，炖汤后入口即化，全家人都超爱！,4,银耳
2025/7/1,独立小包装银耳，干净卫生，一次一包刚刚好！,5,银耳
2025/7/1,银耳搭配雪梨炖煮，润肺止咳，换季必备！,5,银耳
